prompt_id,file_name,tool,identity_consistency,outfit_clarity,body_integrity,platform_fit,shopping_value,publishable,best_platform,status,notes
W21-P001,IMG_1452.JPG,Grok,4,4,4,3,3,yes,Instagram backup,backup,"Clean outfit, usable as filler; styling is basic and less premium."
W21-P001,IMG_1453.JPG,Grok,4,4,4,4,4,yes,Instagram carousel,selected,"Best crop and strongest product clarity for buttery yellow top and straight jeans."
W21-P001,IMG_1454.JPG,Grok,4,4,4,3,3,yes,Pinterest backup,backup,"Readable outfit, but full-body proportions and shoes feel slightly less polished."
W21-P002,IMG_1455.JPG,Grok,5,5,4,5,5,yes,Instagram carousel,selected,"Strongest hero image for neutral office suit; premium light and clear outfit layers."
W21-P002,IMG_1456.JPG,Grok,5,5,4,5,5,yes,Reels cover,selected,"Good walking pose for short-form cover; jacket and trousers are clear."
W21-P002,IMG_1457.JPG,Grok,5,5,4,4,4,yes,Pinterest backup,backup,"Usable, but similar to IMG_1456 with weaker background depth."
W21-P006,IMG_1458.JPG,Grok,4,5,4,4,4,yes,Pinterest,backup,"Good resort styling, but more travel editorial than Taiwan daily shopping."
W21-P006,IMG_1459.JPG,Grok,4,5,4,4,4,yes,Pinterest,backup,"Clear linen dress and sandals; background may distract from product recommendation."
W21-P006,IMG_1460.JPG,Grok,4,5,4,4,4,yes,Pinterest,backup,"Usable front view, slightly less dynamic than IMG_1461."
W21-P006,IMG_1461.JPG,Grok,5,5,4,5,4,yes,Pinterest pin,selected,"Best composition and texture visibility; use as vacation capsule or summer linen pin."
W21-P007,IMG_1462.JPG,Grok,5,5,4,4,5,yes,Instagram backup,backup,"Clear beige tailoring, but stance is static."
W21-P007,IMG_1463.JPG,Grok,5,5,4,4,5,yes,Instagram backup,backup,"Readable outfit; similar to IMG_1462."
W21-P007,IMG_1464.JPG,Grok,5,5,4,5,5,yes,Instagram carousel,selected,"Good full-body crop with bag detail; strong shopping value for office capsule."
W21-P007,IMG_1465.JPG,Grok,5,5,4,5,5,yes,Instagram carousel,selected,"Best styling confidence and sleeve detail; strongest candidate for first post."
W21-P010,IMG_1466.JPG,Grok,4,5,4,5,4,yes,Instagram carousel,backup,"Good unfinished tailoring concept; downward gaze feels editorial."
W21-P010,IMG_1467.JPG,Grok,4,5,4,5,4,yes,Instagram carousel,selected,"Best visual balance for asymmetric blazer; clear navy and ivory contrast."
W21-P010,IMG_1468.JPG,Grok,4,5,4,4,4,yes,Pinterest backup,backup,"Usable full-body view; less expressive than IMG_1467."
