prompt_id,file_name,tool,identity_consistency,outfit_clarity,body_integrity,platform_fit,shopping_value,publishable,best_platform,status,notes
W30-P001,W30-P001_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W30-P001,W30-P001_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W30-P001,W30-P001_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W30-P001,W30-P001_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W30-P001,W30-P001_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W30-P002,W30-P002_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W30-P002,W30-P002_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W30-P002,W30-P002_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W30-P002,W30-P002_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W30-P002,W30-P002_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W30-P003,W30-P003_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W30-P003,W30-P003_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W30-P003,W30-P003_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W30-P003,W30-P003_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W30-P003,W30-P003_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W30-P004,W30-P004_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W30-P004,W30-P004_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W30-P004,W30-P004_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W30-P004,W30-P004_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W30-P004,W30-P004_codex_variant_5.jpg,Codex,,,,,,pending,,review,
W30-P005,W30-P005_codex_variant_1.jpg,Codex,,,,,,pending,,review,
W30-P005,W30-P005_codex_variant_2.jpg,Codex,,,,,,pending,,review,
W30-P005,W30-P005_codex_variant_3.jpg,Codex,,,,,,pending,,review,
W30-P005,W30-P005_codex_variant_4.jpg,Codex,,,,,,pending,,review,
W30-P005,W30-P005_codex_variant_5.jpg,Codex,,,,,,pending,,review,
