week_id,carousel_id,model_profile_id,look_id,look_order,theme_name,opening_hook,look_name,dressing_decision,occasion,clothing_item,color_palette,fabric,fit,styling_rules,visual_proof,practical_rule,scene,visible_action,frame_plan,required_frames,status,next_action
2026-W35,2026-W35-001,M05,2026-W35-001-L01,1,輕量高領外套,八月想穿高領外套，先選薄一點的,石墨黑高領薄夾克＋米灰直筒褲,短版高領外套選無鋪棉款，裡面搭短袖，下身配薄的直筒褲,通勤／空調辦公室,石墨黑無鋪棉短版高領薄夾克；奶油白合身棉質短袖上衣；米灰高腰窄直筒褲；黑色方頭樂福鞋；深灰小型肩背包,石墨黑／奶油白／米灰／深灰,薄尼龍混紡／棉質／薄西裝料／霧面皮革,夾克短版微寬肩；內搭合身；長褲高腰窄直筒,夾克拉鍊敞開至胸口；高領自然立起；全身只保留外套一個寬鬆點,外套長度在腰部附近，裡面的短袖和直筒褲都看得見，整套不會顯得厚重,高領外套選無鋪棉的薄款，裡面搭短袖，下身配直筒褲，全身不要同時穿得寬鬆,台北辦公大樓有棚入口與早晨自然側光,走向感應閘門時一手拿門禁卡，另一手自然扶住肩背包帶,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,ready_for_manual_export,"Open committed Canva design DAHTL2iNCtg for manual slicing/export; Reel A is also accepted for compilation"
2026-W35,2026-W35-001,M05,2026-W35-001-L02,2,輕量高領外套,八月想穿高領外套，先選薄一點的,米灰高領薄外套＋深灰直筒裙,短版無內裡外套配直筒長裙，裡面搭無袖上衣，進出冷氣房方便又不會太厚,看展／空調空間,米灰無裡短版高領薄外套；白色合身無袖棉質上衣；深灰高腰直筒中長裙；白色尖頭平底鞋；黑色小型手提包,米灰／白色／深灰／黑色,輕棉平織／棉質／薄斜紋布／霧面皮革,外套短版落腰；內搭合身；裙身高腰直筒至小腿中段,外套不繫扣；袖口微收；鞋包保持無裝飾,短版外套、白色無袖上衣和直筒長裙的長度有層次，布料都維持輕薄,薄外套配直筒長裙，裡面搭夏天的無袖上衣，鞋子和包包不要同時選厚重款,當代美術館明亮入口與混凝土票務區,從自助取票機抽出紙票後轉身走向展場，手提包貼近身側,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,ready_for_manual_export,"Open committed Canva design DAHTMMvp-EQ for manual slicing/export; Reel A is also accepted for compilation"
2026-W35,2026-W35-002,M01,2026-W35-002-L01,1,深棕麂皮配件,八月想搭麂皮，先從包包下手,白色短袖＋深靛丹寧＋深棕麂皮包,白 T 配深色直筒牛仔褲，八月穿也不會太厚；再背一個深棕麂皮包，秋天的感覺就有了,咖啡廳／週末,挺度適中的白色棉質圓領短袖；深靛藍高腰直筒薄丹寧褲；深棕皮革樂福鞋；巧克力棕中小型柔軟方形麂皮肩背包,白色／深靛藍／巧克力棕／深棕,棉質／薄丹寧／霧面麂皮／霧面皮革,上衣自然合身；丹寧中高腰直筒；包款中小型柔軟方形,麂皮只出現在包；服裝不加厚外套；鞋子以深棕低調呼應,白 T 和牛仔褲都選輕薄材質，整套只有包包使用麂皮,麂皮包搭白 T 和深色直筒牛仔褲，其他單品不要再用麂皮,街區咖啡店窗邊外帶櫃檯與午後自然光,接過外帶咖啡後把紙杯放到窗邊層板，另一手扶住麂皮包帶,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,ready_for_manual_export,"Open committed Canva design DAHTQZm-p8g for manual slicing/export; Reel A is also accepted for compilation"
2026-W35,2026-W35-002,M01,2026-W35-002-L02,2,深棕麂皮配件,棕色皮鞋，襯得白色洋裝更清爽,奶油白洋裝＋深棕麂皮低跟鞋,奶油白薄棉洋裝配深棕麂皮低跟鞋，包包改選素面皮革,週末逛街／午餐,奶油白無袖薄棉直身中長洋裝；巧克力棕方頭麂皮低跟鞋；黑色小型光滑皮革肩背包；細版銀色耳環,奶油白／巧克力棕／黑色／銀色,薄棉平織／霧面麂皮／光滑皮革,洋裝自然直身至小腿中段；鞋型方頭低跟；包款小型,麂皮只出現在鞋；洋裝無厚重疊穿；包款不用麂皮,奶油白薄棉洋裝搭深棕麂皮鞋，麂皮只出現在鞋子上,麂皮包和麂皮鞋擇一搭配，衣服選輕薄透氣的款式,台北安靜選物店的木質展示桌與街窗自然光,站在展示桌旁拿起一個小陶杯查看，雙腳自然錯步並留下可信鞋底接觸影,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,ready_for_manual_export,"Open committed Canva design DAHTRTk6F7M for manual slicing/export; Reel A is also accepted for compilation"
2026-W35,2026-W35-003,M03,2026-W35-003-L01,1,運動外套配長裙,短版運動外套，襯得直筒長裙更俐落,海軍藍運動薄外套＋深灰直筒裙,直筒長裙外面加一件短版運動外套，鞋子配簡單的白色平底球鞋,上班／午間外出,深海軍藍短版立領薄尼龍運動外套；灰白合身棉質短袖；深灰高腰直筒中長裙；白色低調平底球鞋；黑色小型肩背包,深海軍藍／灰白／深灰／白色／黑色,霧面薄尼龍／棉質／薄斜紋布／帆布／霧面皮革,外套短版微寬鬆；內搭合身；裙身高腰直筒至小腿中段,外套拉鍊敞開；鞋面無標誌；其餘配件不加運動條紋,短版運動外套搭直筒長裙，上身短、下身長，白色平底球鞋讓整套看起來更輕鬆,長裙配短版薄運動外套，鞋子選沒有明顯標誌的平底球鞋,辦公街區有棚人行道與午間自然反光,走出便利商店時一手拿無標誌紙袋，另一手把肩背包帶往肩上推回,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,ready_for_manual_export,"Open committed Canva design DAHTSMqIdbU for manual slicing/export; Reel A is also accepted for compilation"
2026-W35,2026-W35-003,M03,2026-W35-003-L02,2,運動外套配長裙,粉色長裙不一定要搭甜美配件,灰白拉鍊外套＋柔粉中長裙,粉色長裙配灰白短版拉鍊外套，鞋子和包包選黑色，整套不會太甜,週末約會／看電影,灰白短版薄棉立領拉鍊外套；白色合身無袖上衣；柔霧粉高腰A字中長裙；黑色方頭平底鞋；黑色小型肩背包,灰白／白色／柔霧粉／黑色,薄棉平織／棉質／薄斜紋布／霧面皮革,外套短版微寬鬆；內搭合身；裙身高腰A字至小腿中段,外套拉鍊拉至胸口；鞋包同為黑色；不加蝴蝶結或運動標誌,灰白短版外套搭粉色長裙，鞋子和包包都用黑色，整體不會有太多顏色,粉色長裙只搭一件簡單的運動外套，鞋子和包包都用同一個中性色,獨立電影院的明亮側廊與霧面玻璃窗,沿側廊走向影廳時一手拿空白票券，另一手自然整理外套下擺,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,editorial_approved,"Prepare both surface jobs: Reel A, then Carousel A/B/C"
2026-W35,2026-W35-004,M02,2026-W35-004-L01,1,窄版絲巾的小結,白襯衫加一條窄版絲巾就有變化,白襯衫＋黑白窄領巾＋深藍直筒褲,黑白窄版絲巾在鎖骨下方打一個小結，胸前就不再戴項鍊,辦公室／會議,白色自然合身純棉襯衫；黑白細窄絲巾在鎖骨下方打小蝴蝶結；深海軍藍高腰直筒西裝褲；黑色尖頭平底鞋；黑色小型肩背包,白色／黑色／深海軍藍,純棉襯衫布／輕薄仿絲／薄西裝料／霧面皮革,襯衫自然合身；領巾窄長；長褲高腰直筒,領巾結保持小而平；胸前不加項鍊；鞋包同為黑色,白襯衫領口有一個窄版絲巾小結，搭素色直筒褲，胸前沒有其他配件,白上衣只加一條窄版絲巾，結放在鎖骨下方，鞋子和包包選同一個中性色,共享辦公室的玻璃會議室入口與均勻日光,抱著一份薄文件走出會議室，另一手輕扶門把，領巾結保持完整可見,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,editorial_approved,"Prepare both surface jobs: Reel A, then Carousel A/B/C"
2026-W35,2026-W35-004,M02,2026-W35-004-L02,2,窄版絲巾的小結,窄版絲巾，打一個小結就夠了,奶油白無袖上衣＋酒紅窄領巾＋深棕長褲,奶油白上衣配酒紅窄版絲巾，結放在頸側，鞋子和包包選低調的深色,晚餐／約會,奶油白合身無袖立領上衣；酒紅窄版絲巾在頸側打小單結並留短邊；深棕高腰直筒長褲；酒紅尖頭低跟鞋；深棕小型手提包,奶油白／酒紅／深棕,棉質混紡／輕薄仿絲／薄西裝料／霧面皮革,上衣合身；絲巾窄版短垂邊；長褲高腰直筒,領巾結位於頸側且尺寸克制；不加項鍊與大耳環；鞋只輕微呼應酒紅,奶油白上衣配酒紅絲巾和深棕直筒褲，其他配件不搶眼,絲巾、項鍊和大耳環擇一搭配；繫絲巾時，其他首飾就簡單一點,街區餐館安靜候位區與傍晚窗邊暖冷混合光,把紙本菜單放回入口層架後轉身走向座位，手提包自然垂在身側,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,editorial_approved,"Prepare both surface jobs: Reel A, then Carousel A/B/C"
2026-W35,2026-W35-005,M04,2026-W35-005-L01,1,深色直筒牛仔褲配柔色上衣,牛仔褲穿去上班，上衣不要再選 T 恤,柔霧粉薄緞面上衣＋深靛直筒丹寧,深色直筒牛仔褲搭柔霧緞面上衣和低跟鞋，上班穿也不會太休閒,通勤／簡報,柔霧粉短袖薄緞面垂墜上衣；深靛藍中高腰直筒薄丹寧褲；深棕方頭低跟鞋；深棕結構小型肩背包；細版銀色耳環,柔霧粉／深靛藍／深棕／銀色,薄緞面／薄身無刷毛丹寧／霧面皮革,上衣自然垂墜；丹寧中高腰直筒；鞋型方頭低跟,上衣前側只輕收進腰頭；丹寧無刷破與明線裝飾；不加球鞋,深色牛仔褲比較硬挺，上衣選有光澤、會自然垂下的布料，再搭低跟鞋,深色直筒牛仔褲配柔色緞面上衣，鞋子選低跟鞋或尖頭平底鞋,採光設計工作室的簡報區入口與側窗自然光,拿著平板電腦走向簡報桌，另一手自然穩住肩背包帶,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,editorial_approved,"Prepare both surface jobs: Reel A, then Carousel A/B/C"
2026-W35,2026-W35-005,M04,2026-W35-005-L02,2,深色直筒牛仔褲配柔色上衣,深色牛仔褲，換一件上衣就能穿去看展,淡紫灰垂墜上衣＋深藍直筒丹寧,深色直筒牛仔褲配淡紫灰垂墜上衣，再拿一個硬挺的小包,週末午餐／展覽,淡紫灰短袖嫘縈垂墜上衣；深藍中高腰直筒薄丹寧褲；奶油白尖頭平底鞋；酒紅小型結構手提包,淡紫灰／深藍／奶油白／酒紅,嫘縈混紡／薄身無刷毛丹寧／霧面皮革,上衣自然垂墜微鬆；丹寧中高腰直筒；包款小型結構方形,上衣下擺只在前側局部收進；丹寧無破壞；酒紅包是唯一強色,淡紫灰上衣搭深色牛仔褲，再配尖頭平底鞋和硬挺小包，整套俐落但不會太正式,深色直筒牛仔褲搭柔色垂墜上衣，再配尖頭平底鞋或硬挺包款，上班、看展都合適,藝文園區的書店咖啡入口與柔和午後光,從展示架拿起一本薄型展覽手冊，另一手提著結構包自然垂落,carousel:hero_full+scene_application+accessory_detail;reel:hero_full_9x16,3,editorial_approved,"Prepare both surface jobs: Reel A, then Carousel A/B/C"
