carousel_id,prompt_id,model_profile_id,candidate_file,tool,model_consistency,body_proportion_consistency,reader_relatability,outfit_clarity,ai_realism,scene_lighting_integration,outfit_continuity,expression_liveliness,pose_variation,canva_frame_fit,commerce_value,publishable,status,notes
2026-W29-002,W29-P005,M02,2026-W29-002_M02_candidate_A.png,Codex,3,,5,5,4,5,5,4,4,,5,no,needs_proportion_review,User flagged body-to-leg proportion drift across A/B/C; retained for audit only and blocked from Canva.
2026-W29-002,W29-P005,M02,2026-W29-002_M02_candidate_B.png,Codex,2,,5,5,4,5,5,4,4,,5,no,needs_proportion_review,User flagged body-to-leg proportion drift across A/B/C; retained for audit only and blocked from Canva.
2026-W29-002,W29-P005,M02,2026-W29-002_M02_candidate_C.png,Codex,2,,5,5,4,5,5,4,4,,5,no,needs_proportion_review,Lower-camera instruction visibly lengthened the lower body; retained for audit only and blocked from Canva.
2026-W29-002,W29-P005,M02,2026-W29-002_M02_v2_candidate_A.png,Codex,5,5,5,5,4,5,5,5,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-002,W29-P005,M02,2026-W29-002_M02_v2_candidate_B.png,Codex,5,4,5,5,4,5,5,5,5,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-002,W29-P005,M02,2026-W29-002_M02_v2_candidate_C.png,Codex,5,5,5,5,4,5,5,5,4,,5,no,superseded_by_photoreal_pilot,Superseded by the Hero-first photoreal pilot; do not select for new Canva work.
2026-W29-002,W29-P005,M02,2026-W29-002_M02_photoreal_pilot_candidate_A.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Hero session lock; anchor-matched body ratio, grounded bench and sandal contact, coherent window and wood bounce lighting. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-002,W29-P005,M02,2026-W29-002_M02_photoreal_pilot_candidate_B.png,Codex,5,5,5,5,5,5,5,5,5,1,5,no,needs_canva_crop_safe_derivative,"Motion derivative preserves lace, linen, bag, proportions and railway scene while changing gaze and stance. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-002,W29-P005,M02,2026-W29-002_M02_photoreal_pilot_candidate_C.png,Codex,5,5,5,5,5,5,5,5,4,1,5,no,needs_canva_crop_safe_derivative,"Detail derivative preserves M02 and exact outfit while clearly showing lace, linen waistband and woven bag construction. Default Canva center-cover crop cuts the hairstyle/head; create a near-square crop-safe derivative."
2026-W29-002,W29-P005,M02,2026-W29-002_M02_photoreal_pilot_candidate_A_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,5,4,,5,no,needs_canva_frame_review,"Native 1.0667:1 full-body Hero derivative. Complete hair, outfit, bag and sandals remain inside the safe composition; exact normalization requires only 0.01% center crop."
2026-W29-002,W29-P005,M02,2026-W29-002_M02_photoreal_pilot_candidate_B_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,5,5,,5,no,needs_canva_frame_review,"Native 2.7317:1 motion derivative. Complete hair, face, lace, waistband, bag and both hand interactions remain visible; exact normalization requires only 0.11% center crop."
2026-W29-002,W29-P005,M02,2026-W29-002_M02_photoreal_pilot_candidate_C_canva_safe_v1.png,Codex,5,5,5,5,5,5,5,5,4,,5,no,needs_canva_frame_review,"Native 1.0495:1 outfit-detail derivative. Complete hair, lace construction, bag, waistband and bench contact remain visible; exact normalization requires only 0.03% center crop."
