prompt_id,file_name,tool,identity_consistency,outfit_clarity,body_integrity,platform_fit,shopping_value,publishable,best_platform,status,notes
W26-P001,W26-P001_grok_variant_1.jpg,Grok,,,,,,pending,,review,
W26-P001,W26-P001_grok_variant_2.jpg,Grok,,,,,,pending,,review,
W26-P001,W26-P001_grok_variant_3.jpg,Grok,,,,,,pending,,review,
W26-P001,W26-P001_grok_variant_4.jpg,Grok,,,,,,pending,,review,
W26-P001,W26-P001_grok_variant_5.jpg,Grok,,,,,,pending,,review,
W26-P002,W26-P002_grok_variant_1.jpg,Grok,,,,,,pending,,review,
W26-P002,W26-P002_grok_variant_2.jpg,Grok,,,,,,pending,,review,
W26-P002,W26-P002_grok_variant_3.jpg,Grok,,,,,,pending,,review,
W26-P002,W26-P002_grok_variant_4.jpg,Grok,,,,,,pending,,review,
W26-P002,W26-P002_grok_variant_5.jpg,Grok,,,,,,pending,,review,
