id,week,trend_name,audience,occasion,clothing_item,color_palette,fabric,fit,styling_rules,model_identity,pose,background,camera_style,negative_prompt,shopping_keywords,affiliate_links,status,notes
P001,1,小資通勤膠囊衣櫃,25-35台灣上班族,平日上班,米白針織短袖上衣搭配深灰高腰西裝寬褲,米白/深灰/黑,細針織與垂墜西裝布,上身合身下身寬鬆,用黑色細腰帶拉高腰線，搭配樂福鞋與小方包,Mika Lin,自然站姿一手拿咖啡,台北辦公大樓一樓大廳,realistic vertical fashion photo,AI virtual outfit only; no real person; no logo,米白針織上衣;高腰西裝寬褲;通勤穿搭,,draft,首批人物一致性測試
P002,1,雨天通勤穿搭,20-35機車或捷運通勤族,雨天上班,防潑水短風衣搭配直筒牛仔褲,鼠尾草綠/白/丹寧藍,防潑水尼龍與中磅丹寧,外套短版褲管直筒,褲長露出腳踝，搭配防水短靴與摺疊傘,Mika Lin,撐透明傘慢走,台北雨天人行道,realistic street style photo,AI virtual outfit only; no real person; no logo,短風衣;防水短靴;雨天穿搭,,draft,
P003,1,韓系極簡週末,20-30日常穿搭受眾,週末咖啡廳,黑色短版外套搭配白色長裙,黑/白/銀,棉混紡與挺版長裙布料,短版外套寬鬆長裙A字,用短上長下比例顯高，搭配銀色耳環與瑪莉珍鞋,Mika Lin,坐在窗邊看手機,台北咖啡廳窗邊,clean realistic lifestyle photo,AI virtual outfit only; no real person; no logo,黑色短版外套;白色長裙;韓系穿搭,,draft,
W21-P001,2026-W21-test,Buttery Neutral,20–35 都會女性,通勤,Buttery yellow knit vest,butter yellow / cream,fine merino-cotton blend,"fitted, cropped V-neck","tucked into high-waist indigo straight denim, slim black loafers",Mika Lin,"standing, weight on one leg, slight side angle",soft sunlit gallery interior,"85mm portrait, shallow DOF, editorial",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,奶油黃針織背心 / 米黃 V 領上衣,,draft,trend_origin=international_designer; platform=Instagram Carousel; tw_focus=奶油黃針織背心 / 米黃 V 領上衣
W21-P002,2026-W21-test,Buttery Neutral,OL 通勤,週間午餐,Cream blazer set,cream / off-white,lightweight wool-blend,boxy oversized blazer + straight trousers,"white silk tank inside, slim brown belt, nude slingbacks",Mika Lin,"walking shot, mid-stride",minimalist Tokyo office lobby,"35mm street, golden hour",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,奶油色西裝套裝 / 米白寬褲,,draft,trend_origin=international_designer; platform=小紅書圖文筆記; tw_focus=奶油色西裝套裝 / 米白寬褲
W21-P003,2026-W21-test,Buttery Neutral,學生 / 預算族,校園,Oat ribbed midi skirt,oat / sand,ribbed cotton-modal,"high waist, body-skimming, midi","white fitted tee, white sneakers",Mika Lin,casual lean against wall,"campus stone bench, dappled light","50mm natural, soft daylight",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,燕麥色羅紋裙 / 奶油色針織半身裙,,draft,trend_origin=fast_fashion_mass; platform=Pinterest 2:3 Pin; tw_focus=燕麥色羅紋裙 / 奶油色針織半身裙
W21-P004,2026-W21-test,Buttery Neutral,靜奢族,咖啡廳工作,Cream cashmere cardigan,ivory / cream,fine cashmere,"relaxed shoulder, knee length","white silk slip dress underneath, leather flats",Mika Lin,seated at marble cafe table,Scandi cafe with warm wood,"85mm, soft window light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,奶油色長版開襟 / 米白薄針織外套,,draft,trend_origin=western_street_luxury; platform=Instagram Carousel; tw_focus=奶油色長版開襟 / 米白薄針織外套
W21-P005,2026-W21-test,Buttery Neutral,甜美靜奢,週末約會,Buttery yellow puff-sleeve blouse,butter yellow,soft cotton voile,"puff sleeve, fitted bodice, slight A-line","high-waist cream wide trousers, gold stud earrings",Mika Lin,"looking off camera, soft smile",Seoul stationery shop window,"50mm, soft pastel lighting",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,奶油黃泡泡袖上衣 / 米黃襯衫,,draft,trend_origin=japan_korea; platform=小紅書圖文筆記; tw_focus=奶油黃泡泡袖上衣 / 米黃襯衫
W21-P006,2026-W21-test,Crinkled & Sandy Texture,靜奢,週末出遊,Crinkled linen shirt dress,off-white,crinkled cotton-linen,"dropped shoulder, self-tie waist, midi","tan flat sandals, straw shoulder bag",Mika Lin,walking through arched corridor,Mediterranean stone arcade,"35mm film, warm light",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,皺感襯衫洋裝 / 水洗棉連身裙,,draft,trend_origin=western_street_luxury; platform=Instagram Reels; tw_focus=皺感襯衫洋裝 / 水洗棉連身裙
W21-P007,2026-W21-test,Crinkled & Sandy Texture,通勤,商務,Sand linen wide-leg suit,sand,linen-blend,dropped shoulder blazer + wide leg,"ivory silk cami, nude slingback heels, chocolate structured bag",Mika Lin,"standing portrait, arms relaxed",minimalist concrete lobby,"85mm portrait, overcast daylight",AI virtual outfit only; no real person; no celebrity; no childlike appearance; no nudity; no logo.,沙色亞麻西裝 / 米色寬褲套裝,,draft,trend_origin=western_street_luxury; platform=Instagram Carousel; tw_focus=沙色亞麻西裝 / 米色寬褲套裝
