item_type,week_id,carousel_id,prompt_id,model_profile_id,canva_template_key,canva_template_name,canva_template_url,canva_design_url,trend_name,content_bucket,stage,platform,recommended_asset,asset_url,post_url,published_at,latest_reach,latest_decision,next_action,run_dir,package_path
carousel,2026-W30,2026-W30-001,W30-P001,M04,B,Mira Template Master v3 - B Cross-Boundary Symmetric,https://www.canva.com/d/UoVSnPEpgguD3be,https://www.canva.com/d/SfW4YxacBg3micp,薄紗與透視層次,office_capsule,ready_for_manual_export,Instagram,2026-W30-001_M04_canva_A_1240x1350.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W30,
carousel,2026-W30,2026-W30-002,W30-P002,M03,B,Mira Template Master v3 - B Cross-Boundary Symmetric,https://www.canva.com/d/UoVSnPEpgguD3be,https://www.canva.com/d/Q-qwMlYHQ0qBu3T,七分褲回歸,weekend_daily,ready_for_manual_export,Instagram,2026-W30-002_M03_canva_A_1240x1350.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W30,
carousel,2026-W30,2026-W30-003,W30-P003,M01,A,Mira Template Master v3 - A Cross-Boundary Contact Sheet,https://www.canva.com/d/c-IyIaIsCawzyCI,https://www.canva.com/d/fOs8q966av5BLqu,漁夫涼鞋續熱,daily_style,ready_for_manual_export,Instagram,2026-W30-003_M01_canva_A_1160x1190.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W30,
carousel,2026-W30,2026-W30-004,W30-P004,M05,B,Mira Template Master v3 - B Cross-Boundary Symmetric,https://www.canva.com/d/UoVSnPEpgguD3be,https://www.canva.com/d/10FY4nNwTxT28TH,奶油黃作為新中性色,office_capsule,ready_for_manual_export,Instagram,2026-W30-004_M05_canva_A_1240x1350.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W30,
carousel,2026-W30,2026-W30-005,W30-P005,M02,E,Mira Template Master v3 - E Cross-Boundary Weekend Air,https://www.canva.com/d/djICquyAb4kcGwW,https://www.canva.com/d/epQogKnXs6oKLW1,絲巾腰帶與胯部綁法,weekend_daily,ready_for_manual_export,Instagram,2026-W30-005_M02_canva_A_1120x1050.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W30,
carousel,2026-W29,2026-W29-001,W29-P001,M01,B,Mira Template Master v3 - B Cross-Boundary Symmetric,https://www.canva.com/d/UoVSnPEpgguD3be,https://www.canva.com/d/oCPjHB_ErKCvfrX,輕透層次 透膚疊穿,office_capsule,ready_for_manual_export,Instagram,2026-W29-001_M01_canva_A_1240x1350.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W29,
carousel,2026-W29,2026-W29-002,W29-P005,M02,E,Mira Template Master v3 - E Cross-Boundary Weekend Air,https://www.canva.com/d/djICquyAb4kcGwW,https://www.canva.com/d/IsZXSYsq61P-7-X,浪漫波西米亞（蕾絲、流蘇與刺繡）,daily_style,ready_for_manual_export,Instagram,2026-W29-002_M02_canva_A_1120x1050.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W29,
carousel,2026-W29,2026-W29-003,W29-P009,M04,B,Mira Template Master v3 - B Cross-Boundary Symmetric,https://www.canva.com/d/UoVSnPEpgguD3be,https://www.canva.com/d/z2ZawJfzHFY3rRf,未完成剪裁與解構西裝（外露車線與不對稱）,office_capsule,ready_for_manual_export,Instagram,2026-W29-003_M04_canva_A_1240x1350.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W29,
carousel,2026-W29,2026-W29-004,W29-P013,M03,B,Mira Template Master v3 - B Cross-Boundary Symmetric,https://www.canva.com/d/UoVSnPEpgguD3be,https://www.canva.com/d/rMEeiVtkMXCQUzr,鬆弛實用輪廓（氣球褲與寬量感下身）,office_capsule,ready_for_manual_export,Instagram,2026-W29-004_M03_canva_A_1240x1350.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W29,
carousel,2026-W29,2026-W29-005,W29-P017,M05,E,Mira Template Master v3 - E Cross-Boundary Weekend Air,https://www.canva.com/d/djICquyAb4kcGwW,https://www.canva.com/d/gDyY0MlyrDQlQNI,中性色彩亮點（薄荷綠、奶油黃與原色）,daily_style,ready_for_manual_export,Instagram,2026-W29-005_M05_canva_A_1120x1050.png,,,,,,"Open the saved Canva design, split the 3240x1350 panorama into three 1080x1350 slides, export, then publish or schedule it.",10_automation\runs\2026-W29,
