carousel_id,look_order,look_name,opening_hook,dressing_decision,occasion,clothing_item,color_palette,fabric,fit,styling_rules,visual_proof,practical_rule,scene,visible_action,frame_plan,required_frames,status
"2026-W36-001","1","霧灰薄風衣＋橄欖綠背心洋裝","換季外套選薄，進室內才方便脫","無鋪棉薄風衣罩在完整的背心洋裝外，外套脫下後仍是一套可單穿的通勤造型","通勤／空調辦公室","霧灰無鋪棉短版薄風衣；橄欖綠棉質背心襯衫洋裝；奶油白低跟包鞋；深灰小型尼龍肩背包；銀色細耳環","霧灰／橄欖綠／奶油白／深灰","霧面薄尼龍／棉質府綢／霧面皮革","風衣短版微寬鬆；洋裝自然直身至小腿中段；鞋型低跟方頭","風衣敞開且袖口輕收；洋裝腰間只有同布細帶；全身不再加厚重配件","敞開的霧灰薄風衣露出完整橄欖綠洋裝，兩層材質與功能清楚分開","薄風衣只當可脫外層，內搭選能單穿的背心洋裝，全身維持三個主色以內","辦公大樓外的開放式有棚步道與早晨自然反光","沿有棚步道走向辦公大樓入口，一手自然整理敞開風衣前襟，另一手扶住肩背包帶","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-001","2","奶油白薄風衣＋霧藍背心洋裝","冷氣房需要外套，先選可以收進包裡的薄款","可收納的奶油白薄風衣配霧藍背心洋裝，外層有防風結構但不增加厚度","週末採買／空調商場","奶油白可收納連帽薄風衣；霧藍細肩帶方領棉質中長洋裝；炭灰薄底芭蕾平底鞋；橄欖綠小型托特包","奶油白／霧藍／炭灰／橄欖綠","防潑水薄尼龍／柔軟棉質／霧面皮革／棉帆布","風衣落腰微寬鬆；洋裝上身合身、裙身自然展開；鞋型薄底","風衣拉鍊只拉至胸口；連帽平貼背部；包款保持小型且無裝飾","奶油白風衣的薄尼龍光澤與霧藍棉洋裝形成可辨識的外硬內柔層次","薄風衣選無內裡、可收納款，裡面穿能獨立成套的輕薄洋裝","社區超市外的半戶外購物廊與午後柔光","離開冷氣區時一手把折好的購物清單收進托特包，另一手自然拉住風衣拉鍊頭","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-002","1","深靛短夾克＋炭灰長寬褲","上下都想穿寬鬆，先把外套長度縮短","深靛短夾克停在腰骨附近，配高腰炭灰長寬褲，讓寬鬆輪廓仍有清楚的長短分段","上班／外出會議","深靛藍短版薄棉斜紋夾克；光學白合身圓領短袖上衣；炭灰高腰薄西裝料長寬褲；黑色方頭平底鞋；黑色小型公事肩背包","深靛藍／光學白／炭灰／黑色","薄棉斜紋／棉質／薄西裝料／霧面皮革","夾克落腰短版微寬鬆；內搭合身；長褲高腰寬管直落鞋面","夾克不扣合；白上衣只露一小段；褲管保持俐落無堆積","短夾克下襬停在腰骨，高腰寬褲從腰線直落鞋面，上短下長一眼可見","寬鬆外套配寬褲時，外套長度停在腰骨附近，內搭保持合身","商務中心一樓共享等候區與大面窗自然光","從文件架抽出一份薄資料後轉身走向電梯，肩背包貼近身側","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-002","2","淺灰短版西裝外套＋深藍長寬褲","寬褲不想顯得拖，外套不要蓋過腰線","淺灰無內裡短版西裝外套配深藍高腰長寬褲，讓正式感來自剪裁而不是厚重布料","通勤／簡報","淺灰無內裡短版單釦西裝外套；奶油白合身無袖針織上衣；深海軍藍高腰長寬褲；深棕尖頭低跟鞋；深棕窄版手提包","淺灰／奶油白／深海軍藍／深棕","薄西裝料／細針織／垂墜薄西裝料／霧面皮革","外套短版落腰、肩線自然；上衣合身；長褲高腰寬管","外套只扣一顆釦；內搭下擺完整收進褲腰；鞋包同為深棕且無金屬裝飾","短版外套露出完整高腰線，深藍寬褲垂直落下並在鞋面上方收住","短版外套配長寬褲時，內搭收進褲腰，鞋面保持簡潔以延續垂直線條","採光明亮的工作室簡報區與白牆走廊","抱著平板電腦走向簡報桌，另一手短暫扶住手提包把手","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-003","1","奶油白棉麻套裝＋焦糖麂皮腰帶","現在穿麂皮，先留在一條腰帶上","奶油白棉麻上衣與長裙維持輕薄，只用一條焦糖麂皮腰帶增加秋季觸感","週末市集／午餐","奶油白短袖棉麻開領上衣；奶油白高腰A字中長裙；焦糖棕窄版霧面麂皮腰帶；黑色薄底涼鞋；黑色小型光滑皮革手提包","奶油白／焦糖棕／黑色","棉麻混紡／霧面麂皮／光滑皮革","上衣自然合身；裙身高腰A字至小腿中段；腰帶窄版","麂皮只出現在腰帶；鞋包全部改用光滑黑色材質；服裝不加外套","奶油白棉麻套裝保持輕盈，腰間只有一條焦糖麂皮帶形成清楚的觸感差異","天氣還熱時，麂皮先放在窄腰帶上，鞋包不要再重複同一材質","有遮棚的週末花市與柔和上午日光","站在攤位旁挑選一小束花，一手拿花、另一手自然扶住手提包把手","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-003","2","黑色棉麻洋裝＋焦糖麂皮扁包","想有秋天的觸感，一個小麂皮包就夠","黑色棉麻洋裝保持透氣，焦糖麂皮只放在貼身的扁平肩背包，其他配件維持光滑材質","週末逛書店／咖啡","黑色無袖棉麻直身中長洋裝；焦糖棕扁平半月形麂皮肩背包；奶油白方頭平底鞋；銀色細耳環","黑色／焦糖棕／奶油白／銀色","棉麻混紡／霧面麂皮／光滑皮革","洋裝自然直身至小腿中段；包款小型扁平貼身；鞋型薄底方頭","麂皮只出現在包包；洋裝無厚重疊穿；鞋面無麂皮或金屬裝飾","黑色棉麻洋裝的乾爽紋理與焦糖麂皮扁包形成唯一明顯的材質對比","麂皮包選小型貼身款，衣服維持棉麻，鞋子改用光滑皮革","獨立書店的木質新書桌與街窗午後光","從展示桌拿起一本薄雜誌翻看，麂皮包自然貼在身側且背帶受力可信","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-004","1","香檳緞面裹身裙＋黑色針織背心","基本上衣想穿得有重點，換一件有垂墜的裙子","黑色素面背心配香檳緞面裹身中長裙，讓光澤與斜向垂墜成為全身唯一主張","晚餐／約會","黑色合身方領細針織背心；香檳色高腰裹身緞面中長裙；黑色尖頭平底鞋；黑色小型硬挺手提包；細版金色耳環","黑色／香檳色／金色","細針織／霧光緞面／霧面皮革","上衣合身短比例；裙身高腰裹身至小腿中段；鞋型尖頭薄底","裙腰只用同布固定；不加腰帶與花紋；鞋包同為黑色","霧面黑背心對上帶光澤的香檳緞面裙，裹身線與垂墜方向清楚可見","緞面中長裙配素色合身上衣，腰間不再加第二種裝飾","街區餐館入口的霧面玻璃與傍晚自然暖光","把預約卡交給接待人員後往座位方向轉身，手提包自然垂在身側","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-004","2","酒紅緞面斜裁裙＋奶油白短袖上衣","緞面裙要穿得日常，上衣先保持簡單","奶油白短袖上衣配酒紅斜裁緞面中長裙，裙身有垂墜，其他單品不再增加光澤","旅行晚餐／藝文活動","奶油白合身短袖細針織上衣；酒紅高腰斜裁緞面中長裙；深棕方頭低跟鞋；深棕小型肩背包；小型金色耳釘","奶油白／酒紅／深棕／金色","細針織／霧光緞面／霧面皮革","上衣合身落腰；裙身高腰斜裁貼身後自然展開；鞋型低跟方頭","上衣完整收進裙腰；不加腰帶與項鍊；鞋包同為深棕","奶油白上衣保持霧面，酒紅裙身的斜裁線與自然垂墜成為唯一視覺重點","有光澤的緞面裙只配一件霧面素色上衣，配件維持深色小尺寸","藝文中心演出廳外的票務長廊與均勻室內光","從自助取票機取出紙票後沿長廊走向入口，肩背包貼近身側","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-005","1","炭灰針織上衣＋黑褲＋櫻桃紅小包","黑灰穿搭想加顏色，只留一個紅色配件","炭灰上衣與黑色直筒褲維持安靜底色，只用一個櫻桃紅小包做日常可控制的亮點","通勤／下班採買","炭灰合身短袖細針織上衣；黑色高腰窄直筒長褲；櫻桃紅小型光滑皮革腋下包；黑色方頭樂福鞋；銀色細耳環","炭灰／黑色／櫻桃紅／銀色","細針織／薄西裝料／光滑皮革","上衣自然合身；長褲高腰窄直筒；包款小型貼身","紅色只出現在包包；鞋子保持全黑；不加彩色首飾","炭灰上衣與黑褲形成完整中性底色，腰線附近只有櫻桃紅包包一個彩色區塊","黑灰基底只搭一個紅色包包，鞋子與首飾回到黑色或銀色","車站生活選品店的結帳區與傍晚窗光","把收據折好收進櫻桃紅包包，另一手提著無標誌的小紙袋","hero+scene_application+accessory_detail","3","editorial_approved"
"2026-W36-005","2","黑色襯衫洋裝＋酒紅低跟鞋","不想背紅色包包，就把顏色留在鞋子上","黑色短袖襯衫洋裝維持單色，只用酒紅低跟鞋加入一個深紅亮點","晚間看戲／聚餐","黑色短袖棉質襯衫中長洋裝；酒紅尖頭低跟鞋；黑色小型光滑皮革肩背包；銀色細耳環","黑色／酒紅／銀色","棉質府綢／光滑皮革","洋裝上身自然合身、裙身微A字至小腿中段；鞋型尖頭低跟；包款小型","酒紅只出現在鞋子；包包與腰帶保持黑色；不加彩色首飾","全黑襯衫洋裝形成乾淨底色，酒紅鞋是畫面中唯一可見的彩色配件","紅色鞋與紅色包擇一，選鞋子時包包就維持黑色","小型劇場的明亮入口與深色海報牆","拿著紙本票走向驗票口，雙腳自然錯步並留下可信的鞋底接觸影","hero+scene_application+accessory_detail","3","editorial_approved"
